Date (UTC),Time (UTC),Rocket Type,Launch Site,Latitude,Longitude,Operator (ISO-2),Outcome,Launchsite Operator
1969-01-05,06:28,Molniya-M / Blok VL,Baikonur Site 1/5,45.95515,63.35028,SU,Successful,KZ
1969-01-10,05:51,Molniya-M / Blok-VL,Baikonur Site 1/5,45.95515,63.35028,SU,Successful,KZ
1969-01-12,12:10,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-01-14,07:30,Soyuz,Baikonur LC-31,45.95515,63.35028,SU,Successful,KZ
1969-01-15,07:04,Soyuz,Baikonur LC-1/5,45.95515,63.35028,SU,Successful,KZ
1969-01-20,04:14,Proton-K/D,Baikonur Site 81/23,45.95515,63.35028,SU,Failure,KZ
1969-01-22,16:48,Delta C1,Cape Canaveral SLC-17,28.46675,-80.55852,US,Successful,US
1969-01-22,19:10,Titan IIIB,Vandenberg SLC-4W,34.77204,-120.60124,US,Partial failure,US
1969-01-23,09:15,Voskhod,Baikonur Site 1/5,45.95515,63.35028,SU,Successful, KZ
1969-01-25,11:10,Tsyklon-2A,Baikonur Site 90/19,45.95515,63.35028,SU,Failure,KZ
1969-01-30,06:46,Delta E1,Vandenberg SLC-2E,34.77204,-120.60124,US,Successful,US
1969-02-01,12:11,Vostok-2M,Plesetsk Site 41/1,62.92556,40.57778,SU,Failure,RU
1969-02-05,06:46,Thorad-SLV2G-Agena-D,Vandenberg SLC-3W,34.77204,-120.60124,US,Successful,US
1969-02-06,00:39,Delta M,Cape Canaveral SLC-17A,28.46675,-80.55852,US,Successful,US
1969-02-07,13:59,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-02-09,21:09,Titan IIIC,Cape Canaveral SLC-41,28.46675,-80.55852,US,Successful,US
1969-02-19,06:48,Proton-K / Blok D,Baikonur Site 81/24,45.95515,63.35028,SU,Failure,KZ
1969-02-21,09:18,N1/L3,Baikonur LC-110/38,45.95515,63.35028,SU,Failure,KZ
1969-02-25,01:29,Atlas SLV-3C Centaur-D,Cape Canaveral LC-36,28.46675,-80.55852,US,Successful,US
1969-02-25,10:20,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-02-26,07:47,Delta E1,Cape Canaveral LC-17B,28.46675,-80.55852,US,Successful,US
1969-02-26,08:30,Voskhod,Baikonur Site 31/6,45.95515,63.35028,SU,Successful,KZ
1969-03-03,16:00,Saturn V,KSC LC-39A,28.60820,-80.60400,US,Successful,US
1969-03-04,16:48,Titan IIIB,Vandenberg SLC-4W,34.77204,-120.60124,US,Successful,US
1969-03-05,13:04,Kosmos-2I,Kapustin Yar Site 86/4,48.57807,46.25420,SU,Successful,RU
1969-03-05,17:25,Kosmos-3M,Plesetsk Site 132/2,62.92556,40.57778,SU,Successful,RU
1969-03-06,12:15,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-03-15,12:15,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-03-17,17:25,Kosmos-3M,Plesetsk Site 132/2,62.92556,40.57778,SU,Successful,RU
1969-03-18,07:40,Atlas F-OV1,Vandenberg ABRES-A2,34.77204,-120.60124,US,Successful,US
1969-03-19,21:38,Thorad-SLV2G-Agena-D,Vandenberg SLC-3W,34.77204,-120.60124,US,Successful,US
1969-03-22,12:15,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-03-24,10:10,Voskhod,Baikonur Site 31/6,45.95515,63.35028,SU,Successful,KZ
1969-03-26,12:30,Vostok-2M,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-03-27,10:40,Proton-K/D,Baikonur Site 81/23,45.95515,63.35028,SU,Failure,KZ
1969-03-27,22:22,Atlas SLV-3C Centaur-D,Cape Canaveral LC-36A,28.46675,-80.55852,US,Successful,US
1969-03-28,16:00,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-04-02,10:33,Proton-K/D,Baikonur Site 81/24,45.95515,63.35028,SU,Failure,KZ
1969-04-04,10:20,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-04-04,13:00,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-04-09,13:00,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-04-13,02:24,Atlas-SLV3A Agena-D,Cape Canaveral LC-13,28.46675,-80.55852,US,Successful,US
